Hostname,OS,Version,Stack,Model,Serial,Uptime
ia-mdc-lan-accs-csw-a045-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2325B0RU,"4 years, 21 weeks, 2 days, 15 hours, 14 minutes"
ia-mdc-lan-accs-csw-a09-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2323B04Y,"4 years, 21 weeks, 2 days, 15 hours, 7 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2323B050,"3 years, 9 weeks, 4 days, 17 hours, 13 minutes"
ia-mdc-lan-accs-csw-a09-2,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-24PD-I,FDO2221B0C7,"4 years, 29 weeks, 5 days, 18 hours, 42 minutes"
,,,1,WS-C2960XR-24PD-I,FDO2221B0AQ,"4 years, 29 weeks, 5 days, 19 hours, 31 minutes"
ia-mdc-lan-accs-csw-a115-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2325B0ST,"4 years, 21 weeks, 2 days, 14 hours, 57 minutes"
ia-mdc-lan-accs-csw-a115-2,Eltex,4.0.25,,MES2348P,ES51011355,"142,02:07:00"
ia-mdc-lan-accs-csw-a135-1,Eltex,4.0.25,,MES2348P,ES51007592,"142,02:03:31"
ia-mdc-lan-accs-csw-a159-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2221B0CS,"4 years, 13 weeks, 4 days, 19 hours, 29 minutes"
ia-mdc-lan-accs-csw-a217-1,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-24PD-I,FDO2323B04A,"4 years, 21 weeks, 2 days, 15 hours, 4 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0B0,"4 years, 21 weeks, 2 days, 15 hours, 37 minutes"
ia-mdc-lan-accs-csw-a233-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2325B0UP,"4 years, 21 weeks, 2 days, 14 hours, 52 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2321B0EH,"4 years, 21 weeks, 2 days, 15 hours, 36 minutes"
ia-mdc-lan-accs-csw-a329-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2321B0EK,"4 years, 21 weeks, 2 days, 14 hours, 48 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2325B0RT,"4 years, 21 weeks, 2 days, 15 hours, 34 minutes"
ia-mdc-lan-accs-csw-a329-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F09E,"4 years, 21 weeks, 2 days, 14 hours, 58 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0B8,"4 years, 21 weeks, 2 days, 15 hours, 9 minutes"
ia-mdc-lan-accs-csw-a369-1,Eltex,4.0.25.5,,MES2348P,ES51008377,"00,21:57:09"
ia-mdc-lan-accs-csw-a427-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2322B06P,"4 years, 20 weeks, 2 days, 15 hours, 25 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2326B0LX,"4 years, 20 weeks, 2 days, 16 hours, 3 minutes"
,,,3,WS-C2960XR-48FPD-I,FDO2416F06B,"4 years, 20 weeks, 2 days, 16 hours, 3 minutes"
,,,4,WS-C2960XR-48FPD-I,FDO2416F09U,"4 years, 20 weeks, 2 days, 16 hours, 3 minutes"
ia-mdc-lan-accs-csw-a427-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F0AC,"4 years, 20 weeks, 2 days, 15 hours, 21 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0AG,"4 years, 20 weeks, 2 days, 16 hours, 4 minutes"
ia-mdc-lan-accs-csw-a471-1,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-24PD-I,FDO2320B0ZG,"4 years, 20 weeks, 2 days, 15 hours, 26 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0AY,"4 years, 20 weeks, 2 days, 16 hours, 5 minutes"
ia-mdc-lan-accs-csw-b07-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2326B0LP,"16 weeks, 22 hours, 24 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2322B07C,"16 weeks, 21 hours, 34 minutes"
ia-mdc-lan-accs-csw-b07-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2221B0CY,"4 years, 27 weeks, 6 days, 16 hours, 16 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2221B0CP,"4 years, 27 weeks, 6 days, 16 hours, 53 minutes"
ia-mdc-lan-accs-csw-b139-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2322B0LP,"4 years, 20 weeks, 2 days, 15 hours, 40 minutes"
ia-mdc-lan-accs-csw-b225-1,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-48FPD-I,FDO2416F09X,"4 years, 20 weeks, 2 days, 15 hours, 23 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0AW,"4 years, 20 weeks, 2 days, 16 hours, 6 minutes"
ia-mdc-lan-accs-csw-b339-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F0A3,"2 years, 5 weeks, 11 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0AL,"2 years, 5 weeks, 30 minutes"
ia-mdc-lan-accs-csw-b339-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F05U,"2 years, 5 weeks, 3 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0A5,"2 years, 5 weeks, 27 minutes"
ia-mdc-lan-accs-csw-b433-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F0C3,"3 years, 36 weeks, 4 days, 14 hours, 32 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F09W,"3 years, 36 weeks, 4 days, 15 hours, 3 minutes"
ia-mdc-lan-accs-csw-b433-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2322B0LM,"4 years, 20 weeks, 2 days, 15 hours, 36 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2323B04C,"4 years, 20 weeks, 2 days, 16 hours, 8 minutes"
ia-mdc-lan-accs-csw-kpp-1-1,Eltex,4.0.25,,MES2308P,ES3B041122,"142,01:42:14"
ia-mdc-lan-accs-csw-kpp-2-1,Eltex,4.0.25,,MES2308P,ES3B034745,"142,01:41:30"
ia-mdc-lan-accs-csw-v114-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2326B0JV,"5 weeks, 30 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2326B0LJ,"5 weeks, 31 minutes"
ia-mdc-lan-accs-csw-v114-2,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2322B0LY,"5 weeks, 30 minutes"
ia-mdc-lan-accs-csw-v114-3,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2322B0M2,"5 weeks, 30 minutes"
ia-mdc-lan-accs-csw-v139-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2326B0KC,"4 years, 1 week, 2 days, 20 hours, 17 minutes"
ia-mdc-lan-accs-csw-v139-2,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2416F0B3,"4 years, 1 week, 2 days, 20 hours, 19 minutes"
ia-mdc-lan-accs-csw-v141-1,Cisco IOS,15.2(7)E2,,WS-C2960X-24PS-L,JTV2439100U,"1 year, 3 weeks, 2 days, 11 minutes"
ia-mdc-lan-accs-csw-v159-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2325B0UN,"4 years, 18 weeks, 3 days, 13 hours, 38 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2325B0RP,"4 years, 18 weeks, 3 days, 14 hours, 23 minutes"
,,,3,WS-C2960XR-24PD-I,FDO2322B0M4,"4 years, 18 weeks, 3 days, 14 hours, 23 minutes"
,,,4,WS-C2960XR-24PD-I,FDO2323B044,"4 years, 18 weeks, 3 days, 14 hours, 23 minutes"
